site,time
obrazeczagranpasporta.ru,151.567
uhyips.com,157.787
electionsquebec.qc.ca,11.749
tagmobile.com,42.914
centreli.com,61.897
parrislawyers.com,44.748
fancysms.com,39.504
123pricecheck.com,27.850
spo-0004.spo-msedge.net,16.178
spirtok.ru,105.312
youtube2video.com,47.498
netentcasino.com,28.340
uagolos.com,118.476
tycoonstory.com,62.082
journeysaremydiary.com,126.997
osfashland.org,27.734
shops.myshopify.com,46.062
mycasualgamez.com,32.180
bistrohygge.pl,114.197
fruition.net,26.668
filegood.club,29.391
khudothiecopark.vn,26.374
alejinak.cz,145.453
aramaiko.com,41.426
monydai.com.br,101.412
tophealthandremedies.com,27.050
nexteamspeak.de,119.224
rncbbank.ru,100.843
lake-elowin.com,80.481
remodelingmaterials.com,27.745
whitemountainforensic.com,65.022
moe.hk,64.156
babaksohrabi.com,30.629
rsst.ir,146.660
calkini.net,120.620
bddintegralonline.com.ve,104.992
blogspot.l.googleusercontent.com,14.194
fiverdance.com,127.388
lb.wordpress.com,26.621
nakgeo.com,37.111
rizon.net,74.586
tuhablas.ru,120.011
english03.ru,144.385
clickedwapng.com,89.098
lb.wordpress.com,25.884
dorstenerzeitung.de,101.118
orzysz.pl,124.761
rhcorporativo.net,141.663
wanggroup.com,236.247
diabet24.guru,162.766
enzyme-database.org,41.956
faktaonepiece.net,252.889
nazarklinok.ru,182.534
blogspot.l.googleusercontent.com,16.175
minutosdeamor.com,41.351
caseyandalex2019.com,82.951
lb.wordpress.com,27.723
oasisky.com,63.589
wearmopar.com,23.169
ekonomiljus.se,129.759
cybasetech.com,255.852
corostore.eu,117.977
notisantander.com,27.047
vienthongxanh.vn,265.850
franc-music-shop.com,124.603
michibiku.com,27.467
zapusti.biz,153.050
samogonshikov.ru,162.783
ssmengg.edu.in,52.572
drahelas.ru,148.366
woocombros.com,92.195
matchedbettingguy.com,63.565
dogefaucet.info,29.452
applearab.com,36.016
bivar.com,52.392
coupon-magic.com,27.342
honrec.com,44.704
litviral.com,28.323
netcrimson.com,29.692
psychlawjournal.com,61.292
tpnsystem.com,11.641
fundaluka.sk,136.500
hashthemes.com,40.320
ganssle.com,26.930
picltd.com,107.686
iamniverse.com,47.869
logincidadao.rs.gov.br,187.579
sysads.co.uk,12.423
thecrag.com,118.405
talkbeauty.vn,263.577
delta-computer.net,109.785
blogspot.l.googleusercontent.com,14.007
mre.gov.py,221.690
obsessionfishing.com.au,253.328
seinfeld-episodes.com,137.727
project-7.net,115.774
hizhosting.com,180.269
tangoslovenija.si,120.987
audacieuse-galerie.ch,156.737
mpcnews.in,29.642
nasirteb.com,222.522
24lo.gdansk.pl,169.508
matczysko.pl,26.023
labfriend.com.sg,224.699
pawelurbanek.com,26.210
mg-lab.ltd,113.391
abortiondocs.org,26.474
brixxfitness.com,43.132
climbonrockgym.com,30.637
fbco.com,62.089
spo-0004.spo-msedge.net,14.961
innovativeorthocenters.com,78.104
lamarzulli.net,60.498
mdcpros.com,26.111
shops.myshopify.com,35.445
shops.myshopify.com,75.826
shilobyrd.com,61.459
lb.wordpress.com,27.495
torahlive.com,48.789
webcape.org,121.013
superpokec.cz,143.838
pediapendidikan.com,15.252
aurasma.com,11.582
casanunez.com.ar,44.228
yoursbusiness.net,105.495
abreeds.co.nz,288.855
bloggiare.com,261.600
couchtuner2.to,122.528
kslhire.co.uk,125.880
mortons-solicitors.co.uk,107.869
pineconeresearch.co.uk,35.867
thawclaw.com,33.333
vitaantiqua.org.ua,120.917
bellissima.bg,191.532
itanimulli.in,52.540
kirilloid.ru,116.326
and-lab.org,32.219
promofitness.com,128.447
osobnosti.cz,128.539
sarafializadeh.com,37.448
uab.org,146.627
dom4m.ru,101.445
iqst.ca,70.861
shops.myshopify.com,58.865
nebotan.info,143.113
mediaratingcouncil.org,66.082
sps3shop.ru,149.544
sphere-engine.com,126.624
vipvideo.in,116.948
linkatak.com,114.953
momizat.com,49.439
mercadoshops.cl,30.004
mailadmin.no,124.304
highwaythreesolutions.com,26.649
aco-hochbau.de,114.602
autohaus-wilmersdorf.de,113.383
dancefox-radio.de,121.773
eerra.com,24.849
foenwelt.de,107.300
blogspot.l.googleusercontent.com,14.109
imperiumdersteine.de,128.042
klenk-herbline.de,116.342
luxeriaimmobilien.de,125.503
mtgpq.info,26.544
otto-lehmann-gmbh.de,123.803
quibox.de,127.216
scholarshipsguides.com,29.051
steuerberater.net,28.913
tractionlife.com,50.652
webex.de,68.272
ilgm-deals.com,34.366
indianblowjob.net,27.613
neumarket.com,55.253
winxclub.com,119.756
diydekoration.cf,118.912
muau.ch,131.049
wildkatze.ch,159.930
abcbirds.org,31.813
amandamalvarez.com,31.841
auroramfg.com,61.542
bhgold.com,26.030
coleysamericanbistro.com,63.074
dolphinexpress.com,155.641
emmalyne.info,27.975
fieldphiladelphia.org,60.975
greenleafveg.com,69.795
hiramwalker.com,51.509
langer-emv.de,118.415
lovecat.sk,134.713
movieassignments.com,61.792
newdaychurch.nyc,31.106
peoplesbarber.com,130.834
prnpt.com,25.491
remembear.com,28.600
salt-watersandals.com,103.663
spdbydesign.com,39.048
swaymedical.com,26.757
blogspot.l.googleusercontent.com,15.488
usrack.com,27.539
weatherproofgarment.com,96.255
elssahc.ir,97.232
sadrashop.ir,192.066
dev-e2c.de,120.947
hotnewgaming.com,46.522
devcenter.co,95.477
businessplanninghq.com,66.666
singlej.com.au,31.775
alfredadler.edu,71.854
churchinsight.com,94.826
vansonengineering.com,312.302
nvyangyont.com,265.665
knog.com.au,207.207
marinospor.gr,194.223
freepresskashmir.com,251.440
globalgoldenkey.com,40.340
blogspot.l.googleusercontent.com,14.831
keesgutter.nl,109.824
gngtrip.com,55.024
bitcoinblog.cz,130.276
kamenictvi.net,130.638
renaultkangoo.ru,136.754
bger.me,179.127
keciadesign.dk,99.590
ads4xxx.com,29.077
autoaba.com,29.030
cabeleiraempe.com.br,65.257
cnpl.org.br,166.549
desenhospracolorir.com.br,28.858
blogspot.l.googleusercontent.com,14.631
fuelshack.com.my,234.657
ibeximoveis.com.br,28.233
kitesurfing-egypt.com,51.145
matrixsaude.com.br,70.372
blogspot.l.googleusercontent.com,14.761
phrygane.tk,27.197
blogspot.l.googleusercontent.com,14.408
tecsoftonline.com.br,241.723
viajarpara.com,51.383
themechuan.com,25.719
electroarges.ro,157.054
promymind.ru,155.550
mid.as,42.224
spreadit.ng,84.980
clubparticular.com,77.219
xoboats.com,137.900
pisosrevestimientos.com,78.435
thidiweb.com,266.303
balatonfuredi.info,53.863
cafebrossard.com,39.880
tutos-android-france.com,113.347
iabturkiye.org,163.724
atronickish.com,216.132
hairloss.ir,232.304
nikanonline.com,131.888
talkhisnews.ir,119.160
jquerykiller.ru,120.680
adventure-flight.com,121.630
coh.ie,108.153
koszalininfo.pl,133.144
newsletter-abmeldung.de,116.977
tasrv.com,153.820
zs6.tychy.pl,128.247
jnvsangli.com,283.983
mymasjid.net.my,222.844
allparts.com.ua,145.285
ebel.com,27.270
integral.com,41.920
ecoelectric.com.au,205.339
ntbitumen.com.au,74.779
wellingtonicu.com,295.494
1plus1.net,167.679
180chan.gr,122.125
agrotimes.net,157.818
xn--72cb4befma0fcvqd5eia0de16a9d1ag.net,283.762
digart.pl,131.665
satcomm.com.mx,94.113
oatomedia.com,114.008
blackbabe.mobi,94.747
also-online.com,29.282
clubconectar.com,102.989
ylaw.ca,34.615
hetbeteremerk.nl,111.212
elcorillord.com,99.368
enppi.com,27.146
lsdunia.com,94.016
rigma.biz,139.382
avoservice.in,27.613
mode-elle.ca,25.336
logopedy.ru,145.582
thinprint.com,96.748
joshbarczak.com,27.003
tchers.net,29.182
shox.hu,136.472
alaskaparent.com,61.348
agaval.com,61.641
optoviki.kz,199.740
edp-edp.com,173.254
ibbsapp.com,263.393
meikutv.xyz,20.543
redo.tw,248.196
taxpro.co.za,281.746
415it.com,70.714
acamprosate.fun,52.266
aerocare.com,87.159
alexisgrant.com,33.516
americanloggersinsurance.com,20.550
anunrefinedvegan.com,27.794
artofpalate.com,26.358
augur.com,78.084
bahiahotel.com,14.272
beadsobling.com,290.219
betafishing.com,27.146
bolognamagazine.com,116.131
brianmendler.com,61.196
businessinstagram.com,239.739
catalyzingchange.org,28.678
changedirection.org,25.133
christmasranchmovie.com,105.868
climbbybike.com,100.351
colusacountyclerk.com,26.670
coraciasllc.com,44.760
creepsquadapparel.com,113.023
cvyachting.com,109.040
davidsonhotels.com,40.064
lb.wordpress.com,57.094
districtwinery.com,27.434
dragun.sk,127.925
earlybirdfoods.com,40.435
ekoterm-kurenie.sk,129.348
energystorageforum.com,44.884
faicoach.com,67.127
fhcw.org,76.558
flippin.tv,83.836
foxsportswausau.com,15.175
furinsider.com,51.020
glasstileoasis.com,32.818
gottalovechristmas.info,85.649
gtcrew.com,26.949
spo-0004.spo-msedge.net,16.202
henrysmiller.com,26.444
holygroundsshop.com,56.118
hubmoviehd.net,131.227
igourmet.com,15.291
inn-flow.com,61.936
irishindeed.com,90.750
joinfestivault.com,43.927
kanantikbelize.com,49.555
krod.com,13.521
latinasintech.org,33.361
lewistonortho.com,62.243
loveyourpets.io,11.732
missvictoryviolet.com,28.581
lb.wordpress.com,32.385
mul-t-lock-online.com,26.652
blogspot.l.googleusercontent.com,17.942
nawonchoi.me,12.329
newstoshare.com,17.053
northcuttrealty.com,25.540
onlineapteka.com.ua,106.880
ourphillyrow.com,37.515
parishtins.com,33.409
penisextenders.com,47.134
pifs.net,65.714
policecanada.ca,37.885
prettymehair.com,26.593
pubkgroup.com,34.785
radiosilencecomic.com,74.125
redbirdmath.com,33.642
reverebank.com,21.372
rvaweekly.org,31.704
lb.wordpress.com,31.770
seamusabshere.github.io,14.123
sexysusan.net,26.733
si-bone.com,36.130
skywaycomputers.net,51.231
speroresearch.com,233.930
statshockey.homestead.com,40.095
stuckat32.com,78.142
suzohapp.com,19.726
testado.sk,161.232
thetankinifiles.com,26.921
tovareu.sk,136.401
udiconsultingmo.com,46.626
vitaspa.com,86.156
wattagency.com,26.334
wexflow.github.io,17.737
wirepoints.com,49.461
wvcf.com,26.254
yourskinonline.com,41.889
meslekciyiz.com,166.701
rikkei.vn,248.354
rbc.gov.rw,263.314
deloittesmartreports.com,100.100
lawlessspanish.com,27.118
vs-plus.ru,146.813
bikanervala.com,281.388
nimblecowork.com,29.680
theresistancenews.com,266.546
total,lost
970,193
